,Time,Period,Open,High,Low,Close,PriceAverage,TradeAverage,SellAverage,BuyAverage,TradeMedian,Volume,TradeCount
0,1.5463224e+27,3600000000000,3689.3,3694.1,3687.4,3691.9,3691.4389473684214,1328.8532880942157,1199.975764846718,1535.410414395,195.958809727,68.37620706000001,190.0
1,1.546326e+27,3600000000000,3691.8,3719.4,3691.8,3706.2,3704.3956221198155,1415.7017146412281,985.0417599039931,1636.2836426773729,295.439626372,165.73690036000033,434.0
2,1.5463296e+27,3600000000000,3706.1,3725.3,3701.1,3714.4,3714.696650717703,2012.6712042111244,2327.584749432506,1821.300665191977,375.29580000000004,113.20564692000004,209.0
3,1.5463332e+27,3600000000000,3714.0,3714.0,3695.1,3699.7,3706.429341317365,1563.477233253461,1410.1267153933984,1932.7703170797345,386.1312,70.45280859000003,167.0
0,1.5463332e+27,3600000000000,3699.7,3699.7,3695.2,3696.9,3698.1311827956993,843.5135733349032,962.3834035612364,671.4651348494211,358.706,21.213915609999994,93.0
1,1.5463368e+27,3600000000000,3697.1,3710.6,3696.8,3705.8,3705.2276422764226,770.5482110897968,999.1061549649605,400.96515290868086,51.7818,25.57150281,123.0
2,1.5463404e+27,3600000000000,3705.8,3720.0,3703.8,3703.8,3710.4150442477876,1418.6938642528407,1254.1851725745485,1480.8861745214635,236.485062069,86.40012139000004,226.0
3,1.546344e+27,3600000000000,3703.6,3722.0,3695.9,3716.0,3709.5895833333334,2288.0839193432,2979.6151531216456,2115.2011108985885,629.2866357400001,147.9827145799999,240.0
4,1.5463476e+27,3600000000000,3714.9,3720.8,3709.5,3716.0,3714.588993710692,721.6130543995408,1009.4710435254058,641.8451778947831,37.15,61.76322371999969,318.0
0,1.5463476e+27,3600000000000,3717.2,3746.7,3713.5,3718.9,3731.8048231511257,1465.9327899022476,2495.3201271945404,1066.126100864616,272.368584408,122.25678004000004,311.0
1,1.5463512e+27,3600000000000,3715.1,3717.9,3680.0,3693.9,3701.396952104499,1561.1481470187794,1852.1386496849736,1379.279082852408,407.0,290.6378060000005,689.0
0,1.5463512e+27,3600000000000,3693.8,3697.8,3693.7,3696.2,3694.4166666666665,808.2724016021111,1112.0873568338332,656.3649239862501,412.153808397,7.8757626,36.0
1,1.5463548e+27,3600000000000,3697.8,3697.8,3673.2,3681.2,3683.945137157107,1351.1453742684414,2887.6861678818395,605.6385447745333,36.874,147.0509759800003,401.0
2,1.5463584e+27,3600000000000,3681.0,3698.6,3678.2,3695.0,3689.681730769231,1932.0858850731588,1689.9960982672653,2006.692171573088,358.6839071995,108.87108237000005,208.0
3,1.546362e+27,3600000000000,3691.6,3702.4,3678.7,3688.9,3691.40704845815,1755.8783651726917,1684.5843730300721,1824.0993404126123,409.40130000000005,107.98080411000007,227.0
4,1.5463656e+27,3600000000000,3689.9,3689.9,3676.9,3679.2,3682.42109375,1795.414700414875,2087.00728917647,1485.0096865718872,213.173677382,62.42353996999998,128.0
0,1.5463656e+27,3600000000000,3679.7,3679.7,3643.7,3661.3,3657.289230769231,1994.8977501001957,2237.413185591253,1644.1630611373225,658.3679999999999,248.2152675699997,455.0
1,1.5463692e+27,3600000000000,3661.2,3705.0,3661.2,3705.0,3685.2450657894738,1817.7085728148588,1453.2630903477982,2007.22022369773,434.0757749265,149.9278341100001,304.0
2,1.5463728e+27,3600000000000,3700.7,3722.0,3699.4,3717.9,3713.7842323651453,2146.6949388015682,1975.8361227885964,2199.6240285447175,903.0927999999999,139.30872336,241.0
0,1.5463728e+27,3600000000000,3717.9,3739.9,3710.7,3723.7,3724.60806010929,1734.372134417112,861.2343622576731,2215.3378563693454,371.94000000000005,340.93924087999955,732.0
